what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468409196105
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468409251265
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468409251453
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468409267016
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468409370062
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468409393452
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468409421834
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468409422021
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468409441123
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468409459145
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1468409477860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468409513169
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468409573042
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1468409577334
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468409585524
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468409623295
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1468409640454
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1468409661729
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1468409665075
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468409696613
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468409697921
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1468409715867
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468409719005
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468409741472
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1468409744765
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468409747872
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468409758820
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1468409762395
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468409781525
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468409824039
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1468409831891
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468409848289
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468409848555
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1468409858889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468409879857
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468409885399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468409920347
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468409931698
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468409936160
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468409951247
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.openResource",1468409951263
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468409952793
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468409959049
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1468409959096
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1468409959127
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.navigate.open.type",1468409959376
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1468409982724
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468409988436
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468409996815
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1468409996846
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1468409996924
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.navigate.open.type",1468409997002
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468410013934
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468410014090
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468410015667
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468410017305
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468410018553
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468410734278
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468410742861
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468410748638
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.DebugLast",1468410795477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468410795508
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468410799003
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1468410839131
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1468410844720
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1468410845079
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1468410845412
